ip,timestamp,method,url,protocol,status,size,referer,user_agent,anomaly
192.168.1.1,2023-07-12 10:10:10+00:00,GET,/index.html,HTTP/1.1,200,1234,http://example.com,Mozilla/5.0,1
192.168.1.2,2023-07-12 11:15:34+00:00,POST,/api/data,HTTP/1.1,500,0,-,curl/7.68.0,1
46.62.164.96,2019-01-26 11:43:01+03:30,GET,/image/656/brand,HTTP/1.1,200,2222,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),1
79.127.88.215,2019-01-26 11:43:01+03:30,GET,/image/10069/productModel/100x100,HTTP/1.1,200,2026,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0,1
79.127.88.215,2019-01-26 11:43:01+03:30,GET,/image/1539/productModel/100x100,HTTP/1.1,200,2269,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0,1
79.127.88.215,2019-01-26 11:43:01+03:30,GET,/image/1458/productModel/100x100,HTTP/1.1,200,2064,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0,1
46.62.164.96,2019-01-26 11:43:01+03:30,GET,/image/63/brand,HTTP/1.1,200,3013,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),1
79.127.88.215,2019-01-26 11:43:01+03:30,GET,/image/15504/productModel/100x100,HTTP/1.1,200,2637,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0,1
46.62.164.96,2019-01-26 11:43:01+03:30,GET,/image/168/brand,HTTP/1.1,200,2398,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),1
79.127.88.215,2019-01-26 11:43:01+03:30,GET,/image/2604/productModel/100x100,HTTP/1.1,200,1458,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0,1
